regime,ablation,training_fraction,model_family,status,checkpoint_path,file_size_bytes,sha256,arch,arch_hash,model_name,extra_feat_cols,target_names,script_meta,script_fraction,script_test_size,script_split_seed
Zonal,Edge_10,0.1,ArGEnT_self_att_noSDF,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,3457238,d792542b38a5100ce177a6566b570e8b4b3e7aa69e40b812191be5c1e4f34820,"{'hidden_dim': 128, 'num_heads': 4, 'num_layers': 2, 'output_dim': 128, 'out_channels': 2, 'attention_type': 'cross', 'use_sdf': False, 'in_ch_geom': 2}",761f7c4edd13cf2a,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_10\\ArGEnT_self_att_noSDF\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'INPUT_COLS': [0, 1], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'EXTRA_FEAT_COLS': [], 'Perc_training_data': 0.1, 'test_size': 0.2, 'random_state': 42}",0.1,0.2,42
Zonal,Edge_10,0.1,PointNetMLPJoint_FP,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,3077410,9805b39755c89efc8ff8ca3501d533a75e0192515a3297a089c4444e0ab69924,"{'encoder_cfg': {'latent_dim': 128, 'pre_hidden': [64, 64], 'sa_blocks': [{'max_k': 32, 'mlp_hidden': [32], 'n_samples': 0, 'out_ch': 128, 'radius': 0.015}, {'max_k': 32, 'mlp_hidden': [64], 'n_samples': 0, 'out_ch': 256, 'radius': 0.06}], 'gf_hidden': [64], 'posenc': {'n_freqs': 12, 'scale': 1.0}, 'head_posenc': {'n_freqs': 12, 'scale': 1.0}, 'norm': 'layer', 'num_groups': 16, 'pool': 'max', 'head_norm': 'layer', 'head_dropout': 0.0, 'fp': {'fp2_out': 128, 'fp1_out': 64}}, 'head_hidden': [192, 192, 96], 'out_dim': 2}",644e97eb0031ccfb,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_10\\PointNetMLPJoint_FP\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'EXTRA_FEAT_COLS': [], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'train_data_percent': 0.1, 'test_size': 0.2, 'random_state': 42}",0.1,0.2,42
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,3459798,b03f92be7cc753656d9918ca1139fcf2fa2caafc4e0ccfc7e47c4def3f7c1a0a,"{'hidden_dim': 128, 'num_heads': 4, 'num_layers': 2, 'output_dim': 128, 'out_channels': 2, 'attention_type': 'cross', 'use_sdf': False, 'in_ch_geom': 2}",761f7c4edd13cf2a,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_25\\ArGEnT_self_att_noSDF\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'INPUT_COLS': [0, 1], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'EXTRA_FEAT_COLS': [], 'Perc_training_data': 0.25, 'test_size': 0.2, 'random_state': 42}",0.25,0.2,42
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,3077282,96648d4ae123caab07672e7bfe9ab2b6c99fbb025d7dd08c587bc8da209b67e2,"{'encoder_cfg': {'latent_dim': 128, 'pre_hidden': [64, 64], 'sa_blocks': [{'max_k': 32, 'mlp_hidden': [32], 'n_samples': 0, 'out_ch': 128, 'radius': 0.015}, {'max_k': 32, 'mlp_hidden': [64], 'n_samples': 0, 'out_ch': 256, 'radius': 0.06}], 'gf_hidden': [64], 'posenc': {'n_freqs': 12, 'scale': 1.0}, 'head_posenc': {'n_freqs': 12, 'scale': 1.0}, 'norm': 'layer', 'num_groups': 16, 'pool': 'max', 'head_norm': 'layer', 'head_dropout': 0.0, 'fp': {'fp2_out': 128, 'fp1_out': 64}}, 'head_hidden': [192, 192, 96], 'out_dim': 2}",644e97eb0031ccfb,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_25\\PointNetMLPJoint_FP\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'EXTRA_FEAT_COLS': [], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'train_data_percent': 0.25, 'test_size': 0.2, 'random_state': 42}",0.25,0.2,42
Zonal,Edge_50,0.5,ArGEnT_self_att_noSDF,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,3476374,86123b2784644ecbd17bc14bd40d1c8f55c6426cc0366bd96b87c3428dca5eb0,"{'hidden_dim': 128, 'num_heads': 4, 'num_layers': 2, 'output_dim': 128, 'out_channels': 2, 'attention_type': 'cross', 'use_sdf': False, 'in_ch_geom': 2}",761f7c4edd13cf2a,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_50\\ArGEnT_self_att_noSDF\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'INPUT_COLS': [0, 1], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'EXTRA_FEAT_COLS': [], 'Perc_training_data': 0.5, 'test_size': 0.2, 'random_state': 42}",0.5,0.2,42
Zonal,Edge_50,0.5,PointNetMLPJoint_FP,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_50\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,3082018,636e2502c97828e59ef87023e51502a2fab6455585de8280f1723102013d4f10,"{'encoder_cfg': {'latent_dim': 128, 'pre_hidden': [64, 64], 'sa_blocks': [{'max_k': 32, 'mlp_hidden': [32], 'n_samples': 0, 'out_ch': 128, 'radius': 0.015}, {'max_k': 32, 'mlp_hidden': [64], 'n_samples': 0, 'out_ch': 256, 'radius': 0.06}], 'gf_hidden': [64], 'posenc': {'n_freqs': 12, 'scale': 1.0}, 'head_posenc': {'n_freqs': 12, 'scale': 1.0}, 'norm': 'layer', 'num_groups': 16, 'pool': 'max', 'head_norm': 'layer', 'head_dropout': 0.0, 'fp': {'fp2_out': 128, 'fp1_out': 64}}, 'head_hidden': [192, 192, 96], 'out_dim': 2}",644e97eb0031ccfb,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_50\\PointNetMLPJoint_FP\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'EXTRA_FEAT_COLS': [], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'train_data_percent': 0.5, 'test_size': 0.2, 'random_state': 42}",0.5,0.2,42
Zonal,Edge_75,0.75,ArGEnT_self_att_noSDF,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_75\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,3455446,65b31ac946b52d96df5c2b9d9b3b84cd0055794aa6b9ef62a5f14a48aa3bf3c7,"{'hidden_dim': 128, 'num_heads': 4, 'num_layers': 2, 'output_dim': 128, 'out_channels': 2, 'attention_type': 'cross', 'use_sdf': False, 'in_ch_geom': 2}",761f7c4edd13cf2a,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_75\\ArGEnT_self_att_noSDF\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'INPUT_COLS': [0, 1], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'EXTRA_FEAT_COLS': [], 'Perc_training_data': 0.75, 'test_size': 0.2, 'random_state': 42}",0.75,0.2,42
Zonal,Edge_75,0.75,PointNetMLPJoint_FP,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_75\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,3089314,152925ecbabb3ae54ee2eb14f3daf820493cc1baeae0e3c739793c4aed7469c8,"{'encoder_cfg': {'latent_dim': 128, 'pre_hidden': [64, 64], 'sa_blocks': [{'max_k': 32, 'mlp_hidden': [32], 'n_samples': 0, 'out_ch': 128, 'radius': 0.015}, {'max_k': 32, 'mlp_hidden': [64], 'n_samples': 0, 'out_ch': 256, 'radius': 0.06}], 'gf_hidden': [64], 'posenc': {'n_freqs': 12, 'scale': 1.0}, 'head_posenc': {'n_freqs': 12, 'scale': 1.0}, 'norm': 'layer', 'num_groups': 16, 'pool': 'max', 'head_norm': 'layer', 'head_dropout': 0.0, 'fp': {'fp2_out': 128, 'fp1_out': 64}}, 'head_hidden': [192, 192, 96], 'out_dim': 2}",644e97eb0031ccfb,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge_75\\PointNetMLPJoint_FP\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'EXTRA_FEAT_COLS': [], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'train_data_percent': 0.75, 'test_size': 0.2, 'random_state': 42}",0.75,0.2,42
Zonal,Edge,1.0,ArGEnT_self_att_noSDF,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,3459222,04d489d391f831a2f6e5605410590e7f08ae8345d1f633a9492c00a7ddb978a1,"{'hidden_dim': 128, 'num_heads': 4, 'num_layers': 2, 'output_dim': 128, 'out_channels': 2, 'attention_type': 'cross', 'use_sdf': False, 'in_ch_geom': 2}",761f7c4edd13cf2a,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge\\ArGEnT_self_att_noSDF\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'INPUT_COLS': [0, 1], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'EXTRA_FEAT_COLS': [], 'test_size': 0.2, 'random_state': 42}",,0.2,42
Zonal,Edge,1.0,PointNetMLPJoint_FP,discovered,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,3098274,5a4051f09936adfe3f233fa3cea2405015372d7f2ddab32bf9804797d750bbab,"{'encoder_cfg': {'latent_dim': 128, 'pre_hidden': [64, 64], 'sa_blocks': [{'max_k': 32, 'mlp_hidden': [32], 'n_samples': 0, 'out_ch': 128, 'radius': 0.015}, {'max_k': 32, 'mlp_hidden': [64], 'n_samples': 0, 'out_ch': 256, 'radius': 0.06}], 'gf_hidden': [64], 'posenc': {'n_freqs': 12, 'scale': 1.0}, 'head_posenc': {'n_freqs': 12, 'scale': 1.0}, 'norm': 'layer', 'num_groups': 16, 'pool': 'max', 'head_norm': 'layer', 'head_dropout': 0.0, 'fp': {'fp2_out': 128, 'fp1_out': 64}}, 'head_hidden': [192, 192, 96], 'out_dim': 2}",644e97eb0031ccfb,,[],,"{'path': 'c:\\Users\\abfat\\Desktop\\Disc_lifing_paper_v2\\Zonal\\Edge\\PointNetMLPJoint_FP\\Training_script.py', 'TARGET_NAMES': ['Stress', 'LogLife'], 'EXTRA_FEAT_COLS': [], 'H5_FILENAME': 'disc_dataset_edge_deriv_zonal.h5', 'EXPECTED_REPR': 'edge', 'test_size': 0.2, 'random_state': 42}",,0.2,42
