evaluation_label,regime,ablation,model_family,Stress_MAE,Stress_RMSE,Stress_R2,LogLife_MAE,LogLife_RMSE,LogLife_R2,n_samples_full_test,whole_geometry_mean_LogLife_MAE,whole_geometry_mean_Stress_MAE,mean_abs_min_LogLife_error,mean_abs_max_Stress_error,critical_zone_agreement
validation-split evaluation,Zonal,Edge_arc_feat,ArGEnT_self_att_noSDF,1.2046199554420887,2.5748349271808815,0.9998029833455703,0.009810616428616824,0.02147577012188651,0.9997713684593024,679000,0.009810616428616824,1.2046199554420887,0.03078288769721985,5.761845825195312,0.996
validation-split evaluation,Zonal,Edge_arc_feat,PointNetMLPJoint_headfeat,1.7644511357056023,3.8590247917340785,0.9995574531090642,0.014382742532047502,0.03124624551292185,0.9995160122924324,679000,0.014382742532047502,1.7644511357056025,0.05987511897087097,11.279816162109375,0.997
validation-split evaluation,Zonal,Edge_arc_feat,PointNetMLPJoint_FP_headfeat,1.0020974919652026,2.199009776969415,0.9998562994344776,0.008149817060476199,0.017689905106999197,0.9998448721918388,679000,0.008149817060476199,1.0020974919652026,0.02655874514579773,5.039421508789062,0.997
