model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,1618,log_life_lt_2,2.0,1,0.24773144721984863,0.24773144721984863,0.24773144721984863
MATCH_250K,1618,log_life_lt_3,3.0,5,0.1705239713191986,0.20295503735542297,-0.03953947871923447
MATCH_250K,1618,log_life_lt_4,4.0,18,0.11874076724052429,0.14761503040790558,0.02798350714147091
MATCH_250K,1618,log_life_lt_5,5.0,134,0.03526821732521057,0.07444430142641068,-0.006538031622767448
MATCH_250K,1618,log_life_lt_6,6.0,287,0.028349699452519417,0.06647079437971115,-0.004601099994033575
MATCH_250K,994,all,all,679,0.020576560869812965,0.04783700779080391,0.003317589173093438
MATCH_250K,994,log_life_lt_2,2.0,3,0.23339931666851044,0.2399737536907196,0.23339931666851044
MATCH_250K,994,log_life_lt_3,3.0,6,0.208539679646492,0.2137117087841034,0.208539679646492
MATCH_250K,994,log_life_lt_4,4.0,11,0.15755023062229156,0.17823341488838196,0.12241201102733612
MATCH_250K,994,log_life_lt_5,5.0,101,0.041432417929172516,0.08404111862182617,0.00582199776545167
