regime,ablation,model_family,n_geometries,whole_geometry_mean_loglife_mae,whole_geometry_mean_stress_mae,absolute_min_loglife_error_mean,absolute_max_stress_error_mean,critical_zone_agreement
Uniform,Edge,ArGEnT_self_att_noSDF,1000,0.01374032517806771,2.0484090429314454,0.15128197717666625,46.04860473632812,0.988
Uniform,Edge,GINOT-A,1000,0.01589438100205254,2.3270220639056065,0.14940157270431517,44.84211096191406,0.992
Uniform,Edge,PointNetMLPJoint,1000,0.014685003475517868,2.0251490673014625,0.04806463885307312,13.67979248046875,0.995
Uniform,Edge,PointNetMLPJoint_FP,1000,0.010597858316241729,1.4380513092737661,0.031457669734954834,8.110394165039063,0.995
Zonal,Edge,ArGEnT_self_att_noSDF,1000,0.01604892769828987,2.0258102655537176,0.23525681495666503,46.5271142578125,0.99
Zonal,Edge,GINOT-A,1000,0.01955446306524993,2.37059212590528,0.21331021070480347,41.503115234375,0.992
Zonal,Edge,PointNetMLPJoint,1000,0.016413662260516226,1.974553034213576,0.07347570610046386,13.837453247070313,0.996
Zonal,Edge,PointNetMLPJoint_FP,1000,0.012962028309944277,1.5742708890687385,0.05107247233390808,9.308250244140625,0.997
