pair_id,model_family,fp_status,stress_variant,no_stress_variant,stress_checkpoint_path,no_stress_checkpoint_path,training_config_id,split_seed,eval_fraction,training_fraction,effective_h5_filename,effective_representation,effective_geometry_family
ArGEnT_self_att_noSDF__ca5324d5b4e306c2,ArGEnT_self_att_noSDF,non-FP,argent_self_nosdf_s_177b264d,argent_self_nosdf_s_cf025919,/home/runner/work/Disc_lifing_paper_v2/Disc_lifing_paper_v2/Zonal/Edge/ArGEnT_self_att_noSDF/Trained_models/argent_self_nosdf_s_177b264d.pt,/home/runner/work/Disc_lifing_paper_v2/Disc_lifing_paper_v2/Zonal/Edge_no_stress/ArGEnT_self_att_noSDF/Trained_models/argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,42,0.2,,disc_dataset_edge_deriv_zonal.h5,edge,disc
PointNetMLPJoint_FP__15c46d5f9f6e469b,PointNetMLPJoint_FP,FP,pnmlp_16932d84,pnmlp_1bbaae12,/home/runner/work/Disc_lifing_paper_v2/Disc_lifing_paper_v2/Zonal/Edge/PointNetMLPJoint_FP/Trained_models/pnmlp_16932d84.pt,/home/runner/work/Disc_lifing_paper_v2/Disc_lifing_paper_v2/Zonal/Edge_no_stress/PointNetMLPJoint_FP/Trained_models/pnmlp_1bbaae12.pt,15c46d5f9f6e469b,42,0.2,,disc_dataset_edge_deriv_zonal.h5,edge,disc
