regime,ablation,ablation_source,model_family,fp_status,stress_target_mode,checkpoint_path,training_config_id,life_bin,n_samples,mae_loglife,rmse_loglife,unstable
Zonal,Edge,Edge,PointNetMLPJoint_weighted,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_weighted\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,ff1bcd712a89b0b5,log_life < 2,1030,0.07009666413068771,0.09757829457521439,False
Zonal,Edge,Edge,PointNetMLPJoint_weighted,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_weighted\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,ff1bcd712a89b0b5,2 <= log_life < 3,3491,0.06774763017892838,0.09993401914834976,False
Zonal,Edge,Edge,PointNetMLPJoint_weighted,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_weighted\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,ff1bcd712a89b0b5,3 <= log_life < 4,8723,0.0689525380730629,0.09719207882881165,False
Zonal,Edge,Edge,PointNetMLPJoint_weighted,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_weighted\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,ff1bcd712a89b0b5,4 <= log_life < 6,239075,0.01646079123020172,0.03808773681521416,False
Zonal,Edge,Edge,PointNetMLPJoint_weighted,non-FP,with_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge\PointNetMLPJoint_weighted\Trained_models\pn_s_full_ln_pos12_78193d0f.pt,ff1bcd712a89b0b5,log_life >= 6,426681,0.01514104101806879,0.029573941603302956,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,Full test set,679000,0.017313320189714432,0.04558466747403145,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,log_life < 2,1030,0.26178160309791565,0.27632206678390503,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,2 <= log_life < 3,3491,0.19234155118465424,0.23037244379520416,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,3 <= log_life < 4,8723,0.09681463241577148,0.14366218447685242,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,4 <= log_life < 6,239075,0.016780253499746323,0.048202257603406906,False
Zonal,Edge_no_stress,Edge_no_stress,ArGEnT_self_att_noSDF,non-FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_cf025919.pt,ca5324d5b4e306c2,log_life >= 6,426681,0.013964509591460228,0.031055357307195663,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,Full test set,679000,0.013761200942099094,0.030030982568860054,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,log_life < 2,1030,0.0689726173877716,0.09821518510580063,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,2 <= log_life < 3,3491,0.06413180381059647,0.09322210401296616,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,3 <= log_life < 4,8723,0.06240743026137352,0.08967207372188568,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,4 <= log_life < 6,239075,0.014154096134006977,0.03293602913618088,False
Zonal,Edge_no_stress,Edge_no_stress,PointNetMLPJoint_FP,FP,no_stress,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_no_stress\PointNetMLPJoint_FP\Trained_models\pnmlp_1bbaae12.pt,15c46d5f9f6e469b,log_life >= 6,426681,0.012001140974462032,0.02384493313729763,False
