regime,ablation,model_family,grouped_region,n_nodes,LogLife_MAE,LogLife_RMSE,signed_mean_LogLife_error,median_abs_LogLife_error,Stress_MAE,Stress_RMSE,status
Zonal,Edge,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.049493915700793735,0.10884055846760059,0.0003247838467359543,0.005020618438720703,6.72622065386618,15.710141377266522,ok
Zonal,Edge,ArGEnT_self_att_noSDF,Rim features,217212,0.017965553635148394,0.04256439265586942,-0.00021908257622271776,0.008163928985595703,2.0773697452971223,5.301481954991138,ok
Zonal,Edge,ArGEnT_self_att_noSDF,Remaining contour,370703,0.009537585280996798,0.022196068488312907,-0.00041430245619267225,0.004403591156005859,1.2309015889483097,2.5870112795314033,ok
Zonal,Edge,PointNetMLPJoint,Critical lower transition,66662,0.026219563239771898,0.05640955035537336,-0.0025039431639015675,0.008042097091674805,3.2969999461851978,7.306684801600029,ok
Zonal,Edge,PointNetMLPJoint,Rim features,217212,0.021922757590433696,0.04450015248195992,0.0011247466318309307,0.011460065841674805,2.4961729564427553,5.5910270140507095,ok
Zonal,Edge,PointNetMLPJoint,Remaining contour,370703,0.011783806759549318,0.02419215913604908,0.0020527841988950968,0.006842136383056641,1.4744477748236702,2.6747526386594926,ok
Zonal,Edge,PointNetMLPJoint_FP,Critical lower transition,66662,0.01938527339305433,0.04343263437671565,0.0010251895291730762,0.006025075912475586,2.4655135664794385,5.47899350720635,ok
Zonal,Edge,PointNetMLPJoint_FP,Rim features,217212,0.017487633071450563,0.036137381103828525,5.7005647249752656e-05,0.009639739990234375,1.968535244760137,4.481248803069465,ok
Zonal,Edge,PointNetMLPJoint_FP,Remaining contour,370703,0.009342480979509854,0.019792155861037396,0.0005890892934985459,0.005127429962158203,1.2002084609254688,2.254801010835807,ok
Zonal,Edge,PointNetMLPJoint_weighted,Critical lower transition,66662,0.025851666848654007,0.05356731175708137,0.0013551675947383046,0.009104728698730469,3.1579299793539257,6.804615847413592,ok
Zonal,Edge,PointNetMLPJoint_weighted,Rim features,217212,0.0224881570889072,0.044683775828777736,-0.0014325275551527739,0.012056350708007812,2.518745592785828,5.491706367773634,ok
Zonal,Edge,PointNetMLPJoint_weighted,Remaining contour,370703,0.011870748551293596,0.024151455714352316,-0.00048196216812357306,0.006793498992919922,1.4629704725638053,2.625053187313735,ok
Zonal,Edge_no_stress,ArGEnT_self_att_noSDF,Critical lower transition,66662,0.052938978117522524,0.11001714740513037,0.00016045206575654447,0.010956764221191406,,,ok
Zonal,Edge_no_stress,ArGEnT_self_att_noSDF,Rim features,217212,0.01900847030593056,0.04358391439355815,-0.00022205006098374724,0.008916854858398438,,,ok
Zonal,Edge_no_stress,ArGEnT_self_att_noSDF,Remaining contour,370703,0.010586046481607604,0.02260756673056895,-0.0004011556738987565,0.005240440368652344,,,ok
Zonal,Edge_no_stress,PointNetMLPJoint_FP,Critical lower transition,66662,0.02190848753392287,0.04724258251790002,-0.002231079386547208,0.007136344909667969,,,ok
Zonal,Edge_no_stress,PointNetMLPJoint_FP,Rim features,217212,0.018068723440249318,0.03720300251016256,0.0016289078630506992,0.009673118591308594,,,ok
Zonal,Edge_no_stress,PointNetMLPJoint_FP,Remaining contour,370703,0.01010660757325574,0.020758603406708754,0.0008527191239409149,0.005852699279785156,,,ok
